Date,Adj Close,Volume,2-days Net change,5day-moving average,5day- standard deviation,10-day moving average,10day- standard deviation,30-day moving average,30day- standard deviation,^VIX,^TNX
2005/2/22,1184.160034,1744940000,-17.429932,1201.391992,10.64936617,1200.970007,8.151999729,1188.905001,13.34393655,13.14,4.285
2005/2/23,1190.800049,1501090000,6.640015,1197.528003,10.18571505,1199.820007,8.733905449,1188.923336,13.34622604,12.39,4.268
2005/2/24,1200.199951,1518750000,9.399902,1195.5,7.70428604,1200.641004,8.290722916,1189.497001,13.45184956,11.57,4.281
2005/2/25,1211.369995,1523680000,11.170044,1197.623999,10.47808995,1202.077002,8.818736405,1190.286003,14.02477883,11.49,4.272
2005/2/28,1203.599976,1795480000,-7.770019,1198.026001,10.70440161,1201.906995,8.76592772,1191.15767,14.01211514,12.08,4.359
2005/3/1,1210.410034,1708060000,6.810058,1203.276001,8.39082218,1202.333997,9.092935654,1192.020671,14.38161395,12.04,4.372
2005/3/2,1210.079956,1568540000,-0.330078,1207.131982,4.947854332,1202.329993,9.089134325,1192.49067,14.74136621,12.5,4.379
2005/3/3,1210.469971,1616240000,0.390015,1209.185986,3.159093872,1202.342993,9.1019482,1193.352002,15.01853669,12.93,4.383
2005/3/4,1222.119995,1636820000,11.650024,1211.335986,6.695626955,1204.479993,10.99764446,1194.909001,15.50760964,11.94,4.31
2005/3/7,1225.310059,1488830000,3.190064,1215.678003,7.424435814,1206.852002,12.72708739,1196.823669,15.59976853,12.26,4.304
2005/3/8,1219.430054,1523090000,-5.880005,1217.482007,6.901869779,1210.379004,10.4173644,1198.679671,14.82201217,12.4,4.375
2005/3/9,1207.01001,1704970000,-12.420044,1216.868018,7.802734685,1212,8.016868934,1199.966337,13.73963261,12.7,4.514
2005/3/10,1209.25,1604020000,2.23999,1216.624024,8.067406658,1212.905005,6.980629473,1201.139006,12.93065911,12.49,4.459
2005/3/11,1200.079956,1449820000,-9.170044,1212.216016,10.08315437,1211.776001,8.082503866,1201.990003,11.92111935,12.8,4.535
2005/3/14,1206.829956,1437430000,6.75,1208.519995,6.998800603,1212.098999,7.778278282,1203.172335,10.44619943,12.39,4.516
2005/3/15,1197.75,1513530000,-9.079956,1204.183984,4.972205367,1210.832996,9.0155917,1194.796199,14.63291434,13.15,4.542
2005/3/16,1188.069946,1653190000,-9.680054,1200.395972,8.348980669,1208.631995,11.5502446,1194.515999,14.62472792,13.49,4.518
2005/3/17,1190.209961,1581930000,2.140015,1196.587964,7.610490931,1206.605994,12.89108098,1194.559197,14.60842001,13.29,4.47
2005/3/18,1189.650024,2344370000,-0.559937,1194.501977,7.840003056,1203.358997,12.63597374,1194.677397,14.54285503,13.14,4.511
2005/3/21,1183.780029,1819440000,-5.869995,1189.891992,5.064185173,1199.205994,11.38235957,1194.595198,14.59352892,13.61,4.525
2005/3/22,1171.709961,2114470000,-12.070068,1184.683984,7.677973711,1194.433984,11.95045999,1194.305598,14.90409857,14.27,4.61
2005/3/23,1172.530029,2246870000,0.820068,1181.576001,8.996682817,1190.985986,12.85846618,1193.951199,15.21004176,14.06,4.607
2005/3/24,1171.420044,1721720000,-1.109985,1177.818017,8.392663469,1187.202991,12.44634131,1193.7198,15.46605942,13.42,4.591
2005/3/28,1174.280029,1746220000,2.859985,1174.744018,5.17254369,1184.622998,12.15102092,1193.451401,15.68751936,13.75,4.624
2005/3/29,1165.359985,2223250000,-8.920044,1171.06001,3.375345316,1180.476001,10.72258578,1193.209602,16.028656,14.49,4.591
2005/3/30,1181.410034,2097110000,16.050049,1173.000024,5.77611697,1178.842004,8.885359578,1193.147402,16.06904768,13.64,4.558
2005/3/31,1180.589966,2214230000,-0.820068,1174.612012,6.667981576,1178.094006,8.319000901,1192.839602,16.16081746,14.02,4.496
2005/4/1,1172.920044,2168690000,-7.669922,1174.912012,6.520582995,1176.365015,7.248995218,1192.605403,16.36576683,14.09,4.451
2005/4/4,1176.119995,2079770000,3.199951,1175.280005,6.527915772,1175.012012,5.559713959,1192.619602,16.35084455,14.11,4.456
2005/4/5,1181.390015,1870800000,5.27002,1178.486011,3.80748594,1174.77301,5.179268023,1192.890002,16.04207511,13.68,4.47
2005/4/6,1184.069946,1797400000,2.679931,1179.017993,4.449808732,1176.009009,5.804186011,1193.296401,15.53827149,13.15,4.436
2005/4/7,1191.140015,1900620000,7.070069,1181.128003,7.096034073,1177.870007,7.343992793,1193.751001,15.12225137,12.33,4.472
2005/4/8,1181.199951,1661330000,-9.940064,1182.783984,5.48493418,1178.847998,7.034280439,1193.893601,14.96568185,12.62,4.491
